Time,PM10,PM2.5,CO,NO2,O3,TEMP,HUD,SO2
2018-09-04 12:00:00+07:00,46.62,43.27,63.28,303.83,70.46,31.61,53.61,47.35
2018-09-04 13:00:00+07:00,49.79,46.11,62.01,315.59,67.29,32.53,47.81,45.06
2018-09-04 14:00:00+07:00,52.42,49.08,64,313.5,67.67,33.57,47.9,45.25
2018-09-04 15:00:00+07:00,70.75,66.33,71.3,460.03,72.71,40.86,43.5,50.33
2018-09-04 16:00:00+07:00,68.28,64.72,70.65,426.79,72.34,42.28,40.2,49.53
2018-09-04 17:00:00+07:00,68.04,64.64,72.49,451.22,74.76,39.32,46.38,50.76
2018-09-04 18:00:00+07:00,79.41,75.01,76.9,477.75,80.79,38.25,49.53,53.64
2018-09-04 19:00:00+07:00,76.47,71.94,75.27,448.71,77.34,37.95,51.46,51.98
2018-09-04 20:00:00+07:00,77.02,72.18,72.39,412.36,71.4,36.9,56.44,49.29
2018-09-04 21:00:00+07:00,58.77,55.08,69.4,392.71,67.36,36.49,56.81,47.09
2018-09-04 22:00:00+07:00,48.48,45.1,67.87,385.6,65.59,36.76,55.52,46.15
2018-09-04 23:00:00+07:00,49.89,46.33,66.27,377.58,62.73,36.81,55.93,44.78
2018-09-05 00:00:00+07:00,53.13,49.37,65.17,372.09,60.83,35.88,58.37,43.87
2018-09-05 01:00:00+07:00,70.92,65.85,67.63,380.76,63.29,34.27,64.68,45.8
2018-09-05 02:00:00+07:00,62.62,58.3,67.19,380.11,61.6,35.89,59.34,45.3
2018-09-05 03:00:00+07:00,63.87,58.95,67.07,374.27,61.23,35.99,58.75,45.13
2018-09-05 04:00:00+07:00,59.23,54.87,67.1,377.88,60.88,36.15,58.27,45.28
2018-09-05 05:00:00+07:00,50.68,46.99,67.24,385.09,61.2,35.97,57.53,45.75
2018-09-05 06:00:00+07:00,49.13,45.48,70.35,417.17,64.53,37.14,54.57,48.07
2018-09-05 07:00:00+07:00,45.48,42.42,74.56,458.24,69.65,39.91,47.11,51.67
2018-09-05 08:00:00+07:00,34.32,32.02,70.72,468.52,65.48,40.84,43.85,49.28
2018-09-05 09:00:00+07:00,48.8,46.15,70.03,443.34,64.6,42.4,40.69,48.85
2018-09-05 10:00:00+07:00,62.14,59.57,70.84,493.82,65.62,43.79,37.53,49.91
2018-09-05 11:00:00+07:00,56.6,54.13,67.2,469.8,61.95,44.53,34.99,47.22
2018-09-05 12:00:00+07:00,54.81,51.88,65.92,457.38,60.56,44.05,35.7,46.25
2018-09-05 13:00:00+07:00,44.21,41.97,65.35,473.98,59.98,44.48,34.83,46.01
2018-09-05 14:00:00+07:00,36.92,35.15,65.25,499.52,60.26,46.28,31.14,46.1
2018-09-05 15:00:00+07:00,35.94,34.12,65.47,499.28,60.94,46.21,30.91,46.38
2018-09-05 16:00:00+07:00,36.36,34.41,69.45,542.92,66.14,46.26,30.47,49.81
2018-09-05 17:00:00+07:00,44.08,41.79,72.96,534.03,70.76,45.07,32.36,52.3
2018-09-05 18:00:00+07:00,76.56,72.43,80.46,515.85,77.9,41.99,40.18,57.06
2018-09-05 19:00:00+07:00,78.05,74.37,78.33,496.61,74.65,40.47,44.39,55.56
2018-09-05 20:00:00+07:00,86.34,81.67,74.08,433.45,69.15,37.85,51.69,52.12
2018-09-05 21:00:00+07:00,92.67,86.75,75.51,412.55,68.65,35.94,60.89,53.19
2018-09-05 22:00:00+07:00,47.01,43.62,71.5,407.02,63.8,36.12,59.01,50.27
2018-09-05 23:00:00+07:00,37.23,34.59,71.99,418.03,63.61,36.58,56.75,50.95
2018-09-06 00:00:00+07:00,44.16,41.6,70.55,405.61,61.48,36.33,57.33,49.64
2018-09-06 01:00:00+07:00,41.2,38.58,69.97,403.89,59.99,36.24,57.19,49.17
2018-09-06 02:00:00+07:00,34.82,32.62,69.88,399.78,59.2,36.02,58.12,48.76
2018-09-06 03:00:00+07:00,28.56,26.68,69.63,403.22,58.4,36.15,57.34,48.27
2018-09-06 04:00:00+07:00,28.26,26.51,70.19,406.12,58.32,35.56,59.22,48.76
2018-09-06 05:00:00+07:00,28.87,27.19,73.01,412.43,60.05,36.41,57.79,50.82
2018-09-06 06:00:00+07:00,27.19,25.51,77.54,429.52,63.42,38.4,52.95,54.51
2018-09-06 07:00:00+07:00,26.57,24.86,80.35,460.99,66.09,39.94,48.59,57.14
2018-09-06 08:00:00+07:00,26.85,25.33,82.08,485.17,67.4,42.33,43.33,58.72
2018-09-06 09:00:00+07:00,35.22,33.96,78.49,487.89,64.73,44.83,37.81,56.2
2018-09-06 10:00:00+07:00,47.75,46.13,76.72,494.78,66.27,43.72,39.31,58.34
2018-09-06 11:00:00+07:00,52.8,50.75,76.77,485.44,65.88,43.22,40.24,57.89
2018-09-06 12:00:00+07:00,57.21,54.84,75.03,501.16,63.87,43.05,39.85,56.2
2018-09-06 13:00:00+07:00,41.58,40,76.1,483.29,64.65,41.06,43.93,57.03
2018-09-06 14:00:00+07:00,50.09,48.24,77.95,518.71,66.51,43.64,40.11,58.77
2018-09-06 15:00:00+07:00,40.14,38.74,73.1,536.91,62.62,45.21,35.57,55.24
2018-09-06 16:00:00+07:00,31.85,30.64,74.22,536.92,63.45,45.52,35.29,55.85
2018-09-06 17:00:00+07:00,27.8,26.4,77.75,523.42,66.23,44.84,37.75,58.22
2018-09-06 18:00:00+07:00,38.94,36.62,82.22,506.01,69.42,42.91,42.99,61.09
2018-09-06 19:00:00+07:00,49.58,46.73,77.44,475.8,64.81,42.02,45.21,57.39
2018-09-06 20:00:00+07:00,47.57,44.59,75.51,456.01,62.59,40.63,48.35,55.77
2018-09-06 21:00:00+07:00,45.18,42.22,74.21,442.16,60.93,39.9,50.06,54.57
2018-09-06 22:00:00+07:00,39.75,37.19,73.11,444.99,59.9,39.8,49.21,53.97
2018-09-06 23:00:00+07:00,40.71,38.39,72.69,443.79,59.03,40.01,48.95,53.37
2018-09-07 00:00:00+07:00,39.95,37.48,73.02,443.86,58.61,40.24,49.14,53.22
2018-09-07 01:00:00+07:00,35.97,34,72.6,438.11,57.77,39.74,50.63,52.75
2018-09-07 02:00:00+07:00,32.76,30.67,72.33,436.76,57.14,39.85,50.2,52.57
2018-09-07 03:00:00+07:00,27.1,25.33,72.23,442.21,56.82,40.33,48.7,52.62
2018-09-07 04:00:00+07:00,19.51,18.2,72.55,440.09,56.37,38.96,51.58,52.74
2018-09-07 05:00:00+07:00,16.1,14.97,74.5,444.79,57.82,39.76,50.03,54.4
2018-09-07 06:00:00+07:00,16.44,15.24,78.43,453.38,60.43,38.65,52.47,57.58
2018-09-07 07:00:00+07:00,20.61,19.31,86.76,491.14,66.72,39.91,49.4,64.22
2018-09-07 08:00:00+07:00,16.86,15.76,79.02,478.58,61.6,39.74,47.05,59.19
2018-09-07 09:00:00+07:00,16.55,15.77,69.94,457.06,54.9,41.52,41.17,52.42
2018-09-07 10:00:00+07:00,24.46,23.39,69.55,472.25,54.9,42.95,37.94,52.37
2018-09-07 11:00:00+07:00,27.64,26.63,71.11,455.11,56.01,42.37,38.86,53.39
2018-09-07 12:00:00+07:00,24.48,23.6,70.7,467.06,55.62,42.69,37.63,53.09
2018-09-07 13:00:00+07:00,41.1,39.32,72.74,465.26,57.23,41.75,41.05,54.57
2018-09-07 14:00:00+07:00,52.79,50.07,76.29,459.39,59.36,39.27,48.82,57.15
2018-09-07 15:00:00+07:00,41.41,39.13,79.21,444.92,60.5,35.64,57.38,59.08
2018-09-07 16:00:00+07:00,46.2,43.47,81.31,463.94,62.4,37.77,51.61,61.19
2018-09-07 17:00:00+07:00,70.71,66.21,86.93,494.13,66.17,38.13,48.9,65.16
2018-09-07 18:00:00+07:00,76.38,70.96,82.49,469.34,62.73,37.24,50.37,62.12
2018-09-07 19:00:00+07:00,57.02,53.35,77.76,456.9,59.49,37.69,47.75,59.04
2018-09-07 20:00:00+07:00,49.68,46.43,77.24,450.58,58.42,36.06,51.65,58.29
2018-09-07 21:00:00+07:00,37.27,35.01,68.79,417.23,52.46,34.74,49.59,52.43
2018-09-07 22:00:00+07:00,27.32,25.45,65.4,409.96,49.87,34.71,47.39,49.92
2018-09-07 23:00:00+07:00,29.64,27.86,65.76,417.27,49.62,35.57,46.77,49.83
2018-09-08 00:00:00+07:00,33.26,31.03,64.82,407.18,48.58,34.42,48.57,49.03
2018-09-08 01:00:00+07:00,39.46,36.26,63.03,406.72,47.25,34.53,46.09,47.87
2018-09-08 02:00:00+07:00,33.11,30.25,61.33,401.17,45.95,34.7,43.65,46.76
2018-09-08 03:00:00+07:00,27.73,25.41,61.23,399.65,45.73,34.49,43.23,46.44
2018-09-08 04:00:00+07:00,25.64,23.86,62.97,407.97,46.28,34.7,42.88,47.16
2018-09-08 05:00:00+07:00,32,29.39,62.87,410.89,46.17,34.54,43.2,47.81
2018-09-08 06:00:00+07:00,37.14,34.17,64.96,422.65,47.62,34.15,44.04,49.95
2018-09-08 07:00:00+07:00,44.68,40.56,68.98,441.43,50.39,34.77,42.64,53.56
2018-09-08 08:00:00+07:00,37.46,34.41,68.93,433.54,50.07,34.5,43.1,53.28
2018-09-08 09:00:00+07:00,33.52,31.48,68.28,428.31,49.38,34.06,43.79,52.72
2018-09-08 10:00:00+07:00,34.56,32.62,66.71,414.42,50.69,34.64,42.34,52.56
2018-09-08 11:00:00+07:00,34.93,32.94,65.78,421.75,48.96,35.28,41.25,51.63
2018-09-08 12:00:00+07:00,32.71,30.95,64.81,415.68,47.54,34.98,40.87,50.67
2018-09-08 13:00:00+07:00,33.48,31.65,65.49,418.99,48.85,35.82,40.33,51.35
2018-09-08 14:00:00+07:00,32.59,30.6,65.65,432.09,48.45,36.41,39.25,51.45
2018-09-08 15:00:00+07:00,33.96,32.04,67.53,429.32,51.5,36.69,39.87,53.27
2018-09-08 16:00:00+07:00,41.02,38.64,69.74,447.27,51.5,36.35,41.73,54.71
2018-09-08 17:00:00+07:00,46.74,43.6,72.3,467.18,52.39,37.56,39.65,56.56
2018-09-08 18:00:00+07:00,52.8,49.52,73.8,479.06,52.82,36.42,41.8,57.61
2018-09-08 19:00:00+07:00,60.64,56.88,75.76,483.57,53.81,35.79,43.64,59.16
2018-09-08 20:00:00+07:00,66.86,62.54,77.92,494.27,55.07,36.26,42.51,60.96
2018-09-08 21:00:00+07:00,76.21,71.31,76.53,472.96,53.78,35.73,45.07,59.48
2018-09-08 22:00:00+07:00,77.49,72.22,74.23,468.84,52.3,36.65,42.95,57.77
2018-09-08 23:00:00+07:00,88.06,82.16,72.55,457.91,51.16,36.32,43.15,56.37
