Time,PM10,PM2.5,CO,NO2,O3,TEMP,HUD,SO2
2018-09-04 12:00:00+07:00,40.65,21.74,859.8,16.52,57.9,31.9,58.2,0.08
2018-09-04 13:00:00+07:00,45.19,25.6,1192.9,18.6,82.36,31.8,57.1,0.67
2018-09-04 14:00:00+07:00,51.36,24.84,977.8,15.22,91.24,33.6,51.1,0.48
2018-09-04 15:00:00+07:00,34.75,19.81,1166.8,22.67,97.68,32.6,55.1,0.27
2018-09-04 16:00:00+07:00,64.34,31.57,1099.1,21.93,84.06,32.6,56.1,0.35
2018-09-04 17:00:00+07:00,61.69,30.37,1351.3,29.15,62.06,32.1,58.3,0.45
2018-09-04 18:00:00+07:00,64.74,32.79,1082.6,21.12,60.76,31.2,62.5,0.11
2018-09-04 19:00:00+07:00,54.16,28.58,3193.2,65.3,21.38,31,64.2,0.69
2018-09-04 20:00:00+07:00,44.03,23.29,1273.1,25.42,31.92,30.3,69.7,0.64
2018-09-04 21:00:00+07:00,58.38,36.79,1056.6,23.68,22.34,29.5,77.3,0.93
2018-09-04 22:00:00+07:00,62.55,30.25,823.6,33,13.94,28.8,75.3,0.21
2018-09-04 23:00:00+07:00,65.58,33.13,908.7,28.21,13.5,28.5,78.1,0.32
2018-09-05 00:00:00+07:00,50.31,26.57,382.5,20.21,15.84,28.4,78.9,0.32
2018-09-05 01:00:00+07:00,58.22,22.04,411.5,23.4,14.98,28.3,80,0.24
2018-09-05 02:00:00+07:00,42.98,24.94,724.8,28.04,7.54,28,82.7,0.16
2018-09-05 03:00:00+07:00,31.47,17.59,682.4,23.84,6.98,27.7,83.4,0.69
2018-09-05 04:00:00+07:00,28.69,16.2,497.1,32.85,3.62,27.4,84.3,0.13
2018-09-05 05:00:00+07:00,48.58,26.32,511.6,41.28,1.62,27.3,84.7,0.03
2018-09-05 06:00:00+07:00,35.63,18.97,799.2,37.34,1.78,27.2,82.4,0.08
2018-09-05 07:00:00+07:00,58.46,34.61,1536.7,35.49,4.26,28.5,77.3,0.61
2018-09-05 08:00:00+07:00,77.17,39.46,1879,41.05,22.04,29,72.1,0.35
2018-09-05 09:00:00+07:00,61.25,30.02,1526.8,37.54,37.54,30.5,67.5,0.38
2018-09-05 10:00:00+07:00,75.85,36.61,1338.2,23.02,48.94,31.4,62.3,0.45
2018-09-05 11:00:00+07:00,74.24,38.31,962.1,16.41,66.86,32.4,56.2,0.29
2018-09-05 12:00:00+07:00,77.14,33.26,682.4,12.36,63.02,32.9,54.3,0.24
2018-09-05 13:00:00+07:00,52.18,26.69,611.7,7.24,49.88,33.8,52.5,0.13
2018-09-05 14:00:00+07:00,43.25,22.31,448.3,5.25,47.72,34.3,49.5,0.27
2018-09-05 15:00:00+07:00,31.63,17.86,355.1,5.41,49.82,35.2,46.1,0.51
2018-09-05 16:00:00+07:00,31.67,18.7,527.5,7.49,55.54,35.1,47.1,0.16
